adult,genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget,release_year,release_month,num_genres,release_season,budget_revenue_ratio
False,"[27, 878]",28942,en,21.951,1979-05-25,The Brood,6.712,657,5000000.0,"['Canadian Film Development Corporation', 'Elgin International Films', 'Mutual Productions']",1355000.0,1979,5,2,Spring,0.271
False,"[18, 10749]",14553,en,19.496,1996-03-29,Stealing Beauty,6.712,529,4800000.0,"['Fox Searchlight Pictures', 'Recorded Picture Company', 'Jeremy Thomas Productions', 'Fiction Films', 'France 2 Cinéma']",10000000.0,1996,3,2,Spring,2.0833333333333335
False,"[12, 10751, 14]",13155,en,20.758,1985-06-21,Return to Oz,6.712,970,11137801.0,"['Oz Productions Ltd.', 'Silver Screen Partners II']",25000000.0,1985,6,3,Summer,2.244608248971229
False,"[35, 12, 18, 10751, 16]",4978,en,21.461,1986-11-21,An American Tail,6.71,1265,84542002.0,"['Amblin Entertainment', 'Universal Pictures', 'Sullivan Bluth Studios']",9000000.0,1986,11,5,Fall,0.10645596019834024
False,"[10749, 35, 10402]",615904,en,32.177,2022-02-09,Marry Me,6.711,910,44000000.0,"['Nuyorican Productions', 'Perfect World Pictures', 'Kung Fu Monkey Productions']",23000000.0,2022,2,3,Winter,0.5227272727272727
False,"[18, 28, 53, 80, 10752]",62630,en,22.019,2011-02-11,The Devil's Double,6.711,536,5728213.0,"['Corrino Media Corporation', 'Corsan', 'Staccato Films']",19100000.0,2011,2,5,Winter,3.3343732155211407
False,"[35, 80, 10749, 53]",11558,en,16.683,1976-12-03,Silver Streak,6.711,301,51100000.0,"['Frank Yablans Presentations', 'Miller-Milkis Productions', '20th Century Fox']",6500000.0,1976,12,4,Winter,0.12720156555772993
False,"[28, 80, 53, 37]",9367,es,18.011,1993-02-22,El Mariachi,6.71,1062,2000000.0,"['Columbia Pictures', 'Los Hooligans Productions']",7225.0,1993,2,4,Winter,0.0036125
False,"[14, 35]",310,en,52.886,2003-05-23,Bruce Almighty,6.712,10299,484600000.0,"['Pit Bull Productions', 'Spyglass Entertainment', 'Universal Pictures', 'Shady Acres Entertainment']",80000000.0,2003,5,2,Spring,0.1650846058605035
False,"[18, 36]",614560,en,28.055,2020-11-13,Mank,6.709,1520,122252.0,['Netflix International Pictures'],25000000.0,2020,11,2,Fall,204.49563197330104
False,"[53, 9648]",13448,en,60.022,2009-05-13,Angels & Demons,6.7,6537,485900000.0,"['Columbia Pictures', 'Imagine Entertainment', 'Skylark Productions', 'Panorama Films']",150000000.0,2009,5,2,Spring,0.30870549495781024
False,"[18, 36, 10749]",4517,en,18.866,2007-09-09,Elizabeth: The Golden Age,6.709,1164,74237563.0,"['Universal Pictures', 'StudioCanal', 'Working Title Films']",55000000.0,2007,9,3,Fall,0.74086483684816
False,"[12, 28, 35]",3989,en,22.563,2004-10-10,Team America: World Police,6.708,1753,50900000.0,"['Paramount', 'Scott Rudin Productions', 'Parker-Stone Productions']",32000000.0,2004,10,3,Fall,0.6286836935166994
False,"[35, 18, 10402]",16367,en,15.026,2005-08-30,Kinky Boots,6.708,320,9950133.0,"['Miramax', 'Harbour Pictures', 'Price Productions']",10000000.0,2005,8,3,Summer,1.0050116918035166
